"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"30.08.2024","29,900","29,900","29,900","29,900","0,57%"
"29.08.2024","29,730","29,730","29,730","29,730","-0,03%"
"28.08.2024","29,740","29,740","29,740","29,740","-0,10%"
"27.08.2024","29,770","29,770","29,770","29,770","0,78%"
"23.08.2024","29,540","29,540","29,540","29,540","0,20%"
"22.08.2024","29,480","29,480","29,480","29,480","0,55%"
"21.08.2024","29,320","29,320","29,320","29,320","-0,20%"
"20.08.2024","29,380","29,380","29,380","29,380","0,75%"
"19.08.2024","29,160","29,160","29,160","29,160","0,62%"
"16.08.2024","28,980","28,980","28,980","28,980","2,22%"
"14.08.2024","28,350","28,350","28,350","28,350","0,71%"
"13.08.2024","28,150","28,150","28,150","28,150","0,79%"
"12.08.2024","27,930","27,930","27,930","27,930","0,07%"
"09.08.2024","27,910","27,910","27,910","27,910","0,69%"
"08.08.2024","27,720","27,720","27,720","27,720","-1,28%"
"07.08.2024","28,080","28,080","28,080","28,080","2,07%"
"06.08.2024","27,510","27,510","27,510","27,510","2,46%"
"05.08.2024","26,850","26,850","26,850","26,850","-4,69%"
"02.08.2024","28,170","28,170","28,170","28,170","-4,90%"
"01.08.2024","29,620","29,620","29,620","29,620","-0,17%"
"31.07.2024","29,670","29,670","29,670","29,670","0,51%"
"30.07.2024","29,520","29,520","29,520","29,520","-0,03%"
"29.07.2024","29,530","29,530","29,530","29,530","-0,10%"
"26.07.2024","29,560","29,560","29,560","29,560","2,07%"
"25.07.2024","28,960","28,960","28,960","28,960","-1,03%"
"24.07.2024","29,260","29,260","29,260","29,260","-0,20%"
"23.07.2024","29,320","29,320","29,320","29,320","1,14%"
"22.07.2024","28,990","28,990","28,990","28,990","-0,10%"
"19.07.2024","29,020","29,020","29,020","29,020","-1,99%"
"18.07.2024","29,610","29,610","29,610","29,610","-1,00%"
"17.07.2024","29,910","29,910","29,910","29,910","1,12%"
"16.07.2024","29,580","29,580","29,580","29,580","1,41%"
"15.07.2024","29,170","29,170","29,170","29,170","0,38%"
"12.07.2024","29,060","29,060","29,060","29,060","1,43%"
"11.07.2024","28,650","28,650","28,650","28,650","1,99%"
"10.07.2024","28,090","28,090","28,090","28,090","0,14%"
"09.07.2024","28,050","28,050","28,050","28,050","-0,57%"
"08.07.2024","28,210","28,210","28,210","28,210","0,28%"
"05.07.2024","28,130","28,130","28,130","28,130","-0,28%"
"03.07.2024","28,210","28,210","28,210","28,210","0,71%"
"02.07.2024","28,010","28,010","28,010","28,010","-0,57%"
"01.07.2024","28,170","28,170","28,170","28,170","-0,14%"
"28.06.2024","28,210","28,210","28,210","28,210","0,50%"
"27.06.2024","28,070","28,070","28,070","28,070","0,43%"
"26.06.2024","27,950","27,950","27,950","27,950","-0,14%"
"25.06.2024","27,990","27,990","27,990","27,990","-0,50%"
"24.06.2024","28,130","28,130","28,130","28,130","1,19%"
"21.06.2024","27,800","27,800","27,800","27,800","-1,00%"
"20.06.2024","28,080","28,080","28,080","28,080","0,25%"
"18.06.2024","28,010","28,010","28,010","28,010","1,12%"
"17.06.2024","27,700","27,700","27,700","27,700","-0,22%"
"14.06.2024","27,760","27,760","27,760","27,760","-1,39%"
"13.06.2024","28,150","28,150","28,150","28,150","-1,75%"
"12.06.2024","28,650","28,650","28,650","28,650","2,80%"
"11.06.2024","27,870","27,870","27,870","27,870","-0,36%"
"10.06.2024","27,970","27,970","27,970","27,970","-0,67%"
"07.06.2024","28,160","28,160","28,160","28,160","-0,95%"
"06.06.2024","28,430","28,430","28,430","28,430","0,96%"
"05.06.2024","28,160","28,160","28,160","28,160","-0,46%"
"04.06.2024","28,290","28,290","28,290","28,290","-1,15%"
"03.06.2024","28,620","28,620","28,620","28,620","0,14%"
"31.05.2024","28,580","28,580","28,580","28,580","0,81%"
"30.05.2024","28,350","28,350","28,350","28,350","0,60%"
"29.05.2024","28,180","28,180","28,180","28,180","-1,33%"
"28.05.2024","28,560","28,560","28,560","28,560","0,85%"
"24.05.2024","28,320","28,320","28,320","28,320","-0,21%"
"23.05.2024","28,380","28,380","28,380","28,380","-0,77%"
"22.05.2024","28,600","28,600","28,600","28,600","-0,21%"
"21.05.2024","28,660","28,660","28,660","28,660","0,32%"
"17.05.2024","28,570","28,570","28,570","28,570","-0,21%"
"16.05.2024","28,630","28,630","28,630","28,630","0,17%"
"15.05.2024","28,580","28,580","28,580","28,580","0,67%"
"14.05.2024","28,390","28,390","28,390","28,390","0,07%"
"13.05.2024","28,370","28,370","28,370","28,370","-0,11%"
"10.05.2024","28,400","28,400","28,400","28,400","1,94%"
"08.05.2024","27,860","27,860","27,860","27,860","-0,78%"
"07.05.2024","28,080","28,080","28,080","28,080","0,97%"
"03.05.2024","27,810","27,810","27,810","27,810","2,32%"
"02.05.2024","27,180","27,180","27,180","27,180","-0,40%"
"30.04.2024","27,290","27,290","27,290","27,290","0,15%"
"29.04.2024","27,250","27,250","27,250","27,250","0,41%"
"26.04.2024","27,140","27,140","27,140","27,140","1,57%"
"25.04.2024","26,720","26,720","26,720","26,720","-2,16%"
"24.04.2024","27,310","27,310","27,310","27,310","1,11%"
"23.04.2024","27,010","27,010","27,010","27,010","1,54%"
"22.04.2024","26,600","26,600","26,600","26,600","0,23%"
"19.04.2024","26,540","26,540","26,540","26,540","-0,11%"
"18.04.2024","26,570","26,570","26,570","26,570","-0,78%"
"17.04.2024","26,780","26,780","26,780","26,780","0,98%"
"16.04.2024","26,520","26,520","26,520","26,520","-2,89%"
"15.04.2024","27,310","27,310","27,310","27,310","-0,18%"
"12.04.2024","27,360","27,360","27,360","27,360","-0,47%"
"11.04.2024","27,490","27,490","27,490","27,490","0,07%"
"10.04.2024","27,470","27,470","27,470","27,470","-1,79%"
"09.04.2024","27,970","27,970","27,970","27,970","0,18%"
"08.04.2024","27,920","27,920","27,920","27,920","0,69%"
"05.04.2024","27,730","27,730","27,730","27,730","-1,39%"
"04.04.2024","28,120","28,120","28,120","28,120","1,15%"
"03.04.2024","27,800","27,800","27,800","27,800","0,00%"
"02.04.2024","27,800","27,800","27,800","27,800","-2,46%"
"28.03.2024","28,500","28,500","28,500","28,500","1,03%"
"27.03.2024","28,210","28,210","28,210","28,210","0,18%"
