"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"30.05.2024","15,407","15,407","15,407","15,407","-0,90%"
"28.05.2024","15,547","15,547","15,547","15,547","-0,09%"
"27.05.2024","15,562","15,562","15,562","15,562","0,00%"
"24.05.2024","15,562","15,562","15,562","15,562","-0,10%"
"23.05.2024","15,578","15,578","15,578","15,578","-0,06%"
"20.05.2024","15,587","15,587","15,587","15,587","0,20%"
"16.05.2024","15,556","15,556","15,556","15,556","0,33%"
"15.05.2024","15,506","15,506","15,506","15,506","0,63%"
"14.05.2024","15,409","15,409","15,409","15,409","0,06%"
"13.05.2024","15,400","15,400","15,400","15,400","-0,15%"
"10.05.2024","15,423","15,423","15,423","15,423","0,30%"
"09.05.2024","15,377","15,377","15,377","15,377","0,15%"
"08.05.2024","15,354","15,354","15,354","15,354","0,04%"
"07.05.2024","15,349","15,349","15,349","15,349","0,78%"
"06.05.2024","15,230","15,230","15,230","15,230","0,63%"
"03.05.2024","15,134","15,134","15,134","15,134","0,97%"
"02.05.2024","14,989","14,989","14,989","14,989","-0,68%"
"30.04.2024","15,092","15,092","15,092","15,092","-0,48%"
"29.04.2024","15,165","15,165","15,165","15,165","-0,06%"
"26.04.2024","15,174","15,174","15,174","15,174","1,71%"
"25.04.2024","14,919","14,919","14,919","14,919","-1,04%"
"24.04.2024","15,076","15,076","15,076","15,076","0,06%"
"23.04.2024","15,068","15,068","15,068","15,068","1,01%"
"22.04.2024","14,918","14,918","14,918","14,918","0,32%"
"19.04.2024","14,871","14,871","14,871","14,871","-1,06%"
"18.04.2024","15,031","15,031","15,031","15,031","0,15%"
"17.04.2024","15,009","15,009","15,009","15,009","-0,89%"
"16.04.2024","15,144","15,144","15,144","15,144","-0,80%"
"15.04.2024","15,265","15,265","15,265","15,265","-0,57%"
"12.04.2024","15,352","15,352","15,352","15,352","-0,00%"
"11.04.2024","15,353","15,353","15,353","15,353","0,46%"
"10.04.2024","15,282","15,282","15,282","15,282","0,45%"
"09.04.2024","15,214","15,214","15,214","15,214","-0,29%"
"08.04.2024","15,257","15,257","15,257","15,257","-0,06%"
"05.04.2024","15,266","15,266","15,266","15,266","0,10%"
"04.04.2024","15,250","15,250","15,250","15,250","-0,46%"
"03.04.2024","15,322","15,322","15,322","15,322","-0,16%"
"02.04.2024","15,346","15,346","15,346","15,346","-0,92%"
"01.04.2024","15,489","15,489","15,489","15,489","0,73%"
"27.03.2024","15,376","15,376","15,376","15,376","0,33%"
"26.03.2024","15,325","15,325","15,325","15,325","0,01%"
"25.03.2024","15,324","15,324","15,324","15,324","-0,44%"
"22.03.2024","15,391","15,391","15,391","15,391","0,10%"
"21.03.2024","15,376","15,376","15,376","15,376","1,38%"
"20.03.2024","15,167","15,167","15,167","15,167","0,23%"
"19.03.2024","15,132","15,132","15,132","15,132","0,31%"
"18.03.2024","15,084","15,084","15,084","15,084","0,94%"
"15.03.2024","14,944","14,944","14,944","14,944","-0,74%"
"14.03.2024","15,056","15,056","15,056","15,056","0,27%"
"13.03.2024","15,015","15,015","15,015","15,015","-0,15%"
"12.03.2024","15,038","15,038","15,038","15,038","0,97%"
"11.03.2024","14,893","14,893","14,893","14,893","-0,32%"
"08.03.2024","14,941","14,941","14,941","14,941","-0,25%"
"07.03.2024","14,978","14,978","14,978","14,978","0,39%"
"06.03.2024","14,919","14,919","14,919","14,919","0,20%"
"05.03.2024","14,890","14,890","14,890","14,890","-0,93%"
"04.03.2024","15,030","15,030","15,030","15,030","-0,12%"
"01.03.2024","15,047","15,047","15,047","15,047","0,49%"
"29.02.2024","14,974","14,974","14,974","14,974","0,64%"
"28.02.2024","14,880","14,880","14,880","14,880","0,06%"
"27.02.2024","14,871","14,871","14,871","14,871","-0,03%"
"26.02.2024","14,876","14,876","14,876","14,876","-0,53%"
"23.02.2024","14,956","14,956","14,956","14,956","0,29%"
"22.02.2024","14,912","14,912","14,912","14,912","1,98%"
"21.02.2024","14,622","14,622","14,622","14,622","-0,08%"
"20.02.2024","14,635","14,635","14,635","14,635","-0,94%"
"19.02.2024","14,773","14,773","14,773","14,773","-0,19%"
"16.02.2024","14,801","14,801","14,801","14,801","-0,07%"
"15.02.2024","14,812","14,812","14,812","14,812","0,31%"
"14.02.2024","14,767","14,767","14,767","14,767","0,42%"
"13.02.2024","14,705","14,705","14,705","14,705","-0,95%"
"12.02.2024","14,847","14,847","14,847","14,847","0,43%"
"09.02.2024","14,783","14,783","14,783","14,783","0,43%"
"08.02.2024","14,720","14,720","14,720","14,720","0,04%"
"07.02.2024","14,714","14,714","14,714","14,714","0,66%"
"06.02.2024","14,618","14,618","14,618","14,618","0,15%"
"05.02.2024","14,595","14,595","14,595","14,595","0,14%"
"02.02.2024","14,575","14,575","14,575","14,575","2,08%"
"01.02.2024","14,278","14,278","14,278","14,278","-0,05%"
"31.01.2024","14,285","14,285","14,285","14,285","-1,00%"
"30.01.2024","14,430","14,430","14,430","14,430","0,16%"
"29.01.2024","14,407","14,407","14,407","14,407","0,56%"
"26.01.2024","14,326","14,326","14,326","14,326","-0,06%"
"25.01.2024","14,335","14,335","14,335","14,335","0,64%"
"24.01.2024","14,244","14,244","14,244","14,244","0,18%"
"23.01.2024","14,219","14,219","14,219","14,219","0,37%"
"22.01.2024","14,167","14,167","14,167","14,167","0,75%"
"19.01.2024","14,061","14,061","14,061","14,061","0,87%"
"18.01.2024","13,940","13,940","13,940","13,940","0,66%"
"17.01.2024","13,848","13,848","13,848","13,848","-0,58%"
"16.01.2024","13,930","13,930","13,930","13,930","0,44%"
"15.01.2024","13,869","13,869","13,869","13,869","0,01%"
"12.01.2024","13,868","13,868","13,868","13,868","0,49%"
"11.01.2024","13,800","13,800","13,800","13,800","-0,18%"
"10.01.2024","13,826","13,826","13,826","13,826","0,07%"
"09.01.2024","13,816","13,816","13,816","13,816","0,45%"
"08.01.2024","13,754","13,754","13,754","13,754","0,75%"
"05.01.2024","13,652","13,652","13,652","13,652","-0,03%"
"04.01.2024","13,656","13,656","13,656","13,656","-0,35%"
"03.01.2024","13,705","13,705","13,705","13,705","-0,43%"
"02.01.2024","13,764","13,764","13,764","13,764","0,19%"
"29.12.2023","13,738","13,738","13,738","13,738","-0,03%"
"28.12.2023","13,741","13,741","13,741","13,741","0,51%"
"27.12.2023","13,672","13,672","13,672","13,672","-0,31%"
"26.12.2023","13,714","13,714","13,714","13,714","0,20%"
"21.12.2023","13,687","13,687","13,687","13,687","-0,42%"
"20.12.2023","13,745","13,745","13,745","13,745","-0,29%"
"19.12.2023","13,785","13,785","13,785","13,785","-0,02%"
"18.12.2023","13,787","13,787","13,787","13,787","0,22%"
"15.12.2023","13,757","13,757","13,757","13,757","0,87%"
"14.12.2023","13,639","13,639","13,639","13,639","-0,35%"
"13.12.2023","13,687","13,687","13,687","13,687","0,32%"
"12.12.2023","13,643","13,643","13,643","13,643","0,16%"
"11.12.2023","13,622","13,622","13,622","13,622","1,08%"
"07.12.2023","13,476","13,476","13,476","13,476","0,32%"
"05.12.2023","13,433","13,433","13,433","13,433","0,40%"
"04.12.2023","13,380","13,380","13,380","13,380","-0,07%"
"01.12.2023","13,390","13,390","13,390","13,390","0,74%"
"30.11.2023","13,292","13,292","13,292","13,292","0,81%"
"29.11.2023","13,185","13,185","13,185","13,185","0,13%"
"28.11.2023","13,168","13,168","13,168","13,168","-0,25%"
"27.11.2023","13,201","13,201","13,201","13,201","-0,19%"
"24.11.2023","13,226","13,226","13,226","13,226","-0,36%"
"23.11.2023","13,274","13,274","13,274","13,274","-0,14%"
"22.11.2023","13,293","13,293","13,293","13,293","0,77%"
"21.11.2023","13,192","13,192","13,192","13,192","0,11%"
"20.11.2023","13,177","13,177","13,177","13,177","0,39%"
"17.11.2023","13,126","13,126","13,126","13,126","-0,27%"
"16.11.2023","13,161","13,161","13,161","13,161","-0,21%"
"15.11.2023","13,189","13,189","13,189","13,189","0,48%"
"14.11.2023","13,126","13,126","13,126","13,126","0,34%"
