"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"30.05.2024","13,57","13,57","13,57","13,57","-0,13%"
"29.05.2024","13,58","13,58","13,58","13,58","-0,44%"
"28.05.2024","13,64","13,64","13,64","13,64","-0,13%"
"27.05.2024","13,66","13,66","13,66","13,66","0,14%"
"24.05.2024","13,64","13,64","13,64","13,64","-0,08%"
"23.05.2024","13,65","13,65","13,65","13,65","-0,24%"
"22.05.2024","13,69","13,69","13,69","13,69","-0,06%"
"21.05.2024","13,70","13,70","13,70","13,70","0,00%"
"20.05.2024","13,70","13,70","13,70","13,70","0,12%"
"17.05.2024","13,68","13,68","13,68","13,68","-0,18%"
"16.05.2024","13,70","13,70","13,70","13,70","0,18%"
"15.05.2024","13,68","13,68","13,68","13,68","0,54%"
"14.05.2024","13,61","13,61","13,61","13,61","-0,05%"
"13.05.2024","13,61","13,61","13,61","13,61","0,00%"
"10.05.2024","13,61","13,61","13,61","13,61","0,19%"
"09.05.2024","13,58","13,58","13,58","13,58","0,00%"
"08.05.2024","13,58","13,58","13,58","13,58","-0,08%"
"07.05.2024","13,59","13,59","13,59","13,59","0,38%"
"06.05.2024","13,54","13,54","13,54","13,54","0,34%"
"03.05.2024","13,50","13,50","13,50","13,50","0,60%"
"02.05.2024","13,42","13,42","13,42","13,42","-0,09%"
"30.04.2024","13,43","13,43","13,43","13,43","-0,38%"
"29.04.2024","13,48","13,48","13,48","13,48","0,22%"
"26.04.2024","13,45","13,45","13,45","13,45","0,85%"
"25.04.2024","13,34","13,34","13,34","13,34","-0,59%"
"24.04.2024","13,42","13,42","13,42","13,42","-0,04%"
"23.04.2024","13,42","13,42","13,42","13,42","0,48%"
"22.04.2024","13,36","13,36","13,36","13,36","0,26%"
"19.04.2024","13,33","13,33","13,33","13,33","-0,31%"
"18.04.2024","13,37","13,37","13,37","13,37","0,10%"
"17.04.2024","13,35","13,35","13,35","13,35","-0,20%"
"16.04.2024","13,38","13,38","13,38","13,38","-0,77%"
"15.04.2024","13,48","13,48","13,48","13,48","-0,33%"
"13.04.2024","13,53","13,53","13,53","13,53","0,00%"
"12.04.2024","13,53","13,53","13,53","13,53","0,05%"
"11.04.2024","13,52","13,52","13,52","13,52","0,00%"
"10.04.2024","13,53","13,53","13,53","13,53","-0,16%"
"09.04.2024","13,55","13,55","13,55","13,55","0,00%"
"08.04.2024","13,55","13,55","13,55","13,55","0,06%"
"05.04.2024","13,54","13,54","13,54","13,54","-0,15%"
"03.04.2024","13,56","13,56","13,56","13,56","0,00%"
"02.04.2024","13,57","13,57","13,57","13,57","-0,47%"
"01.04.2024","13,63","13,63","13,63","13,63","0,04%"
"28.03.2024","13,62","13,62","13,62","13,62","0,22%"
"27.03.2024","13,59","13,59","13,59","13,59","0,20%"
"26.03.2024","13,57","13,57","13,57","13,57","0,10%"
"25.03.2024","13,55","13,55","13,55","13,55","-0,24%"
"22.03.2024","13,59","13,59","13,59","13,59","0,06%"
"21.03.2024","13,58","13,58","13,58","13,58","0,71%"
"20.03.2024","13,48","13,48","13,48","13,48","0,11%"
"19.03.2024","13,47","13,47","13,47","13,47","0,11%"
"18.03.2024","13,45","13,45","13,45","13,45","0,25%"
"15.03.2024","13,42","13,42","13,42","13,42","-0,37%"
"14.03.2024","13,47","13,47","13,47","13,47","-0,08%"
"13.03.2024","13,48","13,48","13,48","13,48","0,00%"
"12.03.2024","13,48","13,48","13,48","13,48","0,34%"
"11.03.2024","13,44","13,44","13,44","13,44","-0,25%"
"08.03.2024","13,47","13,47","13,47","13,47","0,13%"
"07.03.2024","13,46","13,46","13,46","13,46","0,35%"
"06.03.2024","13,41","13,41","13,41","13,41","0,27%"
"05.03.2024","13,37","13,37","13,37","13,37","-0,15%"
"04.03.2024","13,39","13,39","13,39","13,39","0,00%"
"01.03.2024","13,39","13,39","13,39","13,39","0,37%"
"29.02.2024","13,34","13,34","13,34","13,34","0,22%"
"28.02.2024","13,31","13,31","13,31","13,31","0,00%"
"27.02.2024","13,32","13,32","13,32","13,32","-0,05%"
"26.02.2024","13,33","13,33","13,33","13,33","-0,27%"
"23.02.2024","13,36","13,36","13,36","13,36","0,28%"
"22.02.2024","13,32","13,32","13,32","13,32","0,63%"
"21.02.2024","13,24","13,24","13,24","13,24","-0,22%"
"20.02.2024","13,27","13,27","13,27","13,27","-0,10%"
"19.02.2024","13,28","13,28","13,28","13,28","0,00%"
"16.02.2024","13,29","13,29","13,29","13,29","-0,07%"
"15.02.2024","13,30","13,30","13,30","13,30","0,25%"
"14.02.2024","13,26","13,26","13,26","13,26","0,27%"
"13.02.2024","13,23","13,23","13,23","13,23","-0,52%"
"12.02.2024","13,30","13,30","13,30","13,30","0,23%"
"09.02.2024","13,27","13,27","13,27","13,27","0,00%"
"08.02.2024","13,27","13,27","13,27","13,27","-0,12%"
"07.02.2024","13,28","13,28","13,28","13,28","0,15%"
"06.02.2024","13,26","13,26","13,26","13,26","0,23%"
"05.02.2024","13,23","13,23","13,23","13,23","-0,34%"
"02.02.2024","13,28","13,28","13,28","13,28","0,18%"
"01.02.2024","13,26","13,26","13,26","13,26","0,09%"
"30.01.2024","13,24","13,24","13,24","13,24","0,00%"
"29.01.2024","13,24","13,24","13,24","13,24","0,34%"
"26.01.2024","13,20","13,20","13,20","13,20","0,14%"
"25.01.2024","13,18","13,18","13,18","13,18","0,31%"
"24.01.2024","13,14","13,14","13,14","13,14","0,29%"
"23.01.2024","13,10","13,10","13,10","13,10","-0,13%"
"22.01.2024","13,12","13,12","13,12","13,12","0,46%"
"19.01.2024","13,06","13,06","13,06","13,06","0,30%"
"18.01.2024","13,02","13,02","13,02","13,02","0,31%"
"17.01.2024","12,98","12,98","12,98","12,98","-0,76%"
"16.01.2024","13,08","13,08","13,08","13,08","-0,32%"
"15.01.2024","13,12","13,12","13,12","13,12","-0,11%"
"12.01.2024","13,13","13,13","13,13","13,13","0,50%"
"11.01.2024","13,07","13,07","13,07","13,07","0,00%"
"10.01.2024","13,07","13,07","13,07","13,07","0,08%"
"09.01.2024","13,06","13,06","13,06","13,06","-0,07%"
"08.01.2024","13,07","13,07","13,07","13,07","0,28%"
"05.01.2024","13,03","13,03","13,03","13,03","-0,12%"
"04.01.2024","13,05","13,05","13,05","13,05","-0,17%"
"03.01.2024","13,07","13,07","13,07","13,07","-0,39%"
"02.01.2024","13,12","13,12","13,12","13,12","-0,28%"
"29.12.2023","13,16","13,16","13,16","13,16","-0,10%"
"28.12.2023","13,17","13,17","13,17","13,17","0,10%"
"27.12.2023","13,16","13,16","13,16","13,16","0,22%"
"26.12.2023","13,13","13,13","13,13","13,13","0,09%"
"21.12.2023","13,12","13,12","13,12","13,12","-0,06%"
"20.12.2023","13,12","13,12","13,12","13,12","0,00%"
"19.12.2023","13,12","13,12","13,12","13,12","0,18%"
"18.12.2023","13,10","13,10","13,10","13,10","0,00%"
"15.12.2023","13,10","13,10","13,10","13,10","0,24%"
"14.12.2023","13,07","13,07","13,07","13,07","0,61%"
